Sample_Project	Sample_Name	Sample_UUID	Sample_in_S3	Output_in_S3
WCDT	DTB-131-Baseline	afa306ad-44f0-423b-af89-dd476991567d	y	y
WCDT	DTB-063-Progression	da0c9b5b-3ae1-44e0-a602-174ff5187f5d	y	y
WCDT	DTB-069-Baseline-Duplicate	81b69ffc-4367-4b47-9605-fb1e3278c52a	y	y
WCDT	DTB-097-Progression	b4884e05-3fa1-431e-b986-826dfb7d0970	y	y
WCDT	DTB-120-Baseline	d1243ad7-5c40-462f-99c5-aa6baa9e21d5	y	y
WCDT	DTB-127_Baseline	1bb73a22-4904-462f-931d-0eaf10ffb0f7	y	y
WCDT	DTB-156-Baseline	3fa036fb-8579-4b16-8f40-9b002b5cd224	y	y
WCDT	DTB-111-Baseline	27aa4fff-323d-41b7-9468-c0146f064db0	y	y
WCDT	DTB-111-Progression	954718f5-1c10-483d-84ac-aa0b23d5610b	y	y
WCDT	DTB-095_Baseline2_Bone	4c3865b0-967a-477c-b7c8-34d4efa27e20	y	y
WCDT	DTB-097-Baseline	1bca122f-4d58-42ca-ab23-afc75fa5f2ae	y	y
WCDT	DTB-008-Baseline	60e45c51-4e02-4e9d-971c-bfe15afa9bc4	y	y
WCDT	DTB-018-Progression	36969a52-4c30-4882-9f26-1b47487438a5	y	y
WCDT	DTB-097-Progression	def60fa0-8d6f-41df-8a71-4116eae1aca7	y	y
WCDT	DTB-091-Baseline	0290f22e-5667-4fd2-9809-6834c9f68331	y	y
WCDT	DTB-090-Baseline	8090d67c-d43e-448c-8e56-ba6b33cb9954	y	y
WCDT	DTB-090-Progression	9f04ba83-3b2a-46b6-b9f7-74b0d95a53a	y	y
WCDT	DTB-077-Progression	754af497-be0d-49e3-996f-9d95e57c3966	y	y
