Driver Project	Tumor Sample	Normal Bam	Tumor Bam	Sample in S3	Output in S3
WCDT	DTB_005_BL_T	DTB-005-N.bam	DTB-005-BL-T.bam	y	n
WCDT	DTB_009_BL_T	DTB-009-N.bam	DTB-009-BL-T.bam	y	n
WCDT	DTB_010_Pro2_T	DTB-010-N.bam	DTB-010-Pro2-T.bam	y	n
WCDT	DTB_011_BL_T	DTB-011-N.bam	DTB-011-BL-T.bam	y	n
WCDT	DTB_018_BL_T	DTB-018-N.bam	DTB-018-BL-T.bam	y	n
WCDT	DTB_019_BL_T	DTB-019-N.bam	DTB-019-BL-T.bam	y	n
WCDT	DTB_020_BL_T	DTB-020-N.bam	DTB-020-BL-T.bam	y	n
WCDT	DTB_022_Pro2_T	DTB-022-N.bam	DTB-022-Pro2-T.bam	y	n
WCDT	DTB_023_BL_T	DTB-023-N.bam	DTB-023-BL-T.bam	y	n
WCDT	DTB_024_BL_T	DTB-024-N.bam	DTB-024-BL-T.bam	y	n
WCDT	DTB_030_BL_T	DTB-030-N.bam	DTB-030-BL-T.bam	y	n
WCDT	DTB_034_BL_T	DTB-034-N.bam	DTB-034-BL-T.bam	y	n
WCDT	DTB_036_BL_T	DTB-036-N.bam	DTB-036-BL-T.bam	y	n
WCDT	DTB_038_BL_T	DTB-038-N.bam	DTB-038-BL-T.bam	y	n
WCDT	DTB_039_BL_T	DTB-039-N.bam	DTB-039-BL-T.bam	y	n
WCDT	DTB_040_BL_T	DTB-040-N.bam	DTB-040-BL-T.bam	y	n
WCDT	DTB_042_BL_T	DTB-042-N.bam	DTB-042-BL-T.bam	y	n
WCDT	DTB_046_BL_T	DTB-046-N.bam	DTB-046-BL-T.bam	y	n
WCDT	DTB_055_Pro_T	DTB-055-N.bam	DTB-055-Pro-T.bam	y	n
WCDT	DTB_059_BL_T	DTB-059-N.bam	DTB-059-BL-T.bam	y	n
WCDT	DTB_060_BL_T	DTB-060-N.bam	DTB-060-BL-T.bam	y	n
WCDT	DTB_061_BL_T	DTB-061-N.bam	DTB-061-BL-T.bam	y	n
