Sample_Project	Sample_Name	Sample_UUID	Sample_in_S3	Output_in_S3
Treehouse	HS1795_4_lanes_dupsFlagged	00ece58e-cc01-5612-981b-16116162c9d5	y	y
Treehouse	HS1194_7_lanes_dupsFlagged	23548557-fd3d-5b07-877f-e9031748e294	y	y
Treehouse	HS1195_7_lanes_dupsFlagged	27e43902-16e0-5f31-9e3c-85e0634b8951	y	y
Treehouse	HS1799_4_lanes_dupsFlagged	4d567059-7be9-5771-a4a4-a0b872355dae	y	y
Treehouse	HS1197_7_lanes_dupsFlagged	626ff87e-25b9-5647-885b-54b3713dd670	y	y
Treehouse	HS1196_7_lanes_dupsFlagged	a944ae8a-42ec-51c9-84d3-85753c59e51a	y	y
Treehouse	HS1198_7_lanes_dupsFlagged	b35fdd7b-6cda-5d8b-8023-97723e6e5cd2	y	y
Treehouse	HS1797_4_lanes_dupsFlagged	bde3a318-594b-5d54-af84-d6befa1de11c	y	y
Treehouse	HS1801_4_lanes_dupsFlagged	ccb5f400-014c-5537-b713-5611c582e7f9	y	y
Treehouse	HS1803_4_lanes_dupsFlagged	f7febe57-4797-53d9-bb65-6b8f4087511e	y	y
WCDT	DTB-131-Baseline	afa306ad-44f0-423b-af89-dd476991567d	y	y
WCDT	DTB-063-Progression	da0c9b5b-3ae1-44e0-a602-174ff5187f5d	y	y
WCDT	DTB-069-Baseline-Duplicate	81b69ffc-4367-4b47-9605-fb1e3278c52a	y	y
WCDT	DTB-097-Progression	b4884e05-3fa1-431e-b986-826dfb7d0970	y	y
WCDT	DTB-120-Baseline	d1243ad7-5c40-462f-99c5-aa6baa9e21d5	y	y
WCDT	DTB-127_Baseline	1bb73a22-4904-462f-931d-0eaf10ffb0f7	y	y
WCDT	DTB-156-Baseline	3fa036fb-8579-4b16-8f40-9b002b5cd224	y	y
WCDT	DTB-111-Baseline	27aa4fff-323d-41b7-9468-c0146f064db0	y	y
WCDT	DTB-111-Progression	954718f5-1c10-483d-84ac-aa0b23d5610b	y	y
WCDT	DTB-095_Baseline2_Bone	4c3865b0-967a-477c-b7c8-34d4efa27e20	y	y
WCDT	DTB-097-Baseline	1bca122f-4d58-42ca-ab23-afc75fa5f2ae	y	y
WCDT	DTB-008-Baseline	60e45c51-4e02-4e9d-971c-bfe15afa9bc4	y	y
WCDT	DTB-018-Progression	36969a52-4c30-4882-9f26-1b47487438a5	y	y
WCDT	DTB-097-Progression	NA	n	n
WCDT	DTB-091-Baseline	NA	n	n
WCDT	DTB-090-Progression	NA	n	n
WCDT	DTB-090-Baseline	NA	n	n
